sku_id,date,current_stock,on_order,lead_time_days,safety_stock,reorder_point,inventory_value,category,product_name,avg_forecast_daily,forecast_units_28d,days_of_cover,inventory_vs_reorder_point,stockout_risk,overstock_risk,risk_category
SKU001,2025-12-31,771,147,4,159,289,2815160.01,Furniture,Product 001,12.650981767857143,354.2274895,60.94388673920238,482,False,True,Markdown/Clear
SKU002,2025-12-31,526,29,3,94,149,2974319.6,Home Decor,Product 002,8.953014182142857,250.6843971,58.75116349632596,377,False,False,Healthy
SKU003,2025-12-31,349,12,3,88,123,2145941.67,Kitchen,Product 003,5.006410367857143,140.1794903,69.71062584895131,226,False,True,Markdown/Clear
SKU004,2025-12-31,259,254,6,98,196,321905.92,Lighting,Product 004,4.548021860714286,127.3446121,56.94783532973673,63,False,False,Healthy
SKU005,2025-12-31,471,291,6,129,245,3500674.53,Storage,Product 005,14.432240964285715,404.102747,32.63526441704688,226,False,False,Healthy
SKU006,2025-12-31,359,485,13,129,340,2378877.6,Furniture,Product 006,5.757652853571429,161.2142799,62.35179666612151,19,False,True,Markdown/Clear
SKU007,2025-12-31,207,460,8,98,237,941442.21,Home Decor,Product 007,21.239022535714287,594.692631,9.74621123226933,-30,False,False,Watch/Volatile
SKU008,2025-12-31,325,155,3,91,161,2165845.5,Kitchen,Product 008,14.652986357142856,410.283618,22.17977906200486,164,False,False,Healthy
SKU009,2025-12-31,75,89,7,63,131,224818.5,Lighting,Product 009,10.387649660714287,290.8541905,7.220112580774385,-56,False,False,Watch/Volatile
SKU010,2025-12-31,83,70,13,22,60,595250.27,Storage,Product 010,16.029162392857142,448.816547,5.178062207229628,23,True,False,Reorder Now
SKU011,2025-12-31,753,269,3,179,247,2911918.77,Furniture,Product 011,2.7543332214285714,77.1213302,273.3874006753063,506,False,True,Markdown/Clear
SKU012,2025-12-31,47,60,12,16,58,67949.78,Home Decor,Product 012,21.8224955,611.029874,2.1537408496658874,-11,True,False,Reorder Now
SKU013,2025-12-31,151,95,4,32,61,1169978.2,Kitchen,Product 013,12.890468267857143,360.9331115,11.714081820947037,90,False,False,Watch/Volatile
SKU014,2025-12-31,309,334,10,130,299,964407.54,Lighting,Product 014,19.075876571428573,534.124544,16.19846924690283,10,False,False,Healthy
SKU015,2025-12-31,187,245,9,119,265,235038.43,Storage,Product 015,4.092641853571428,114.5939719,45.69175771801658,-78,False,False,Healthy
SKU016,2025-12-31,255,187,11,30,129,512180.25,Furniture,Product 016,11.793354446428571,330.2139245,21.622346818993698,126,False,False,Healthy
SKU017,2025-12-31,95,26,12,108,274,636809.7,Home Decor,Product 017,13.771016696428571,385.5884675,6.898546570249796,-179,True,False,Reorder Now
SKU018,2025-12-31,235,102,8,66,184,627647.4,Kitchen,Product 018,22.071568321428572,618.003913,10.647181776015712,51,False,False,Watch/Volatile
SKU019,2025-12-31,227,114,14,25,126,738421.92,Lighting,Product 019,14.415123339285714,403.6234535,15.74735051911447,101,False,False,Healthy
SKU020,2025-12-31,1002,353,3,129,227,5550418.68,Storage,Product 020,13.944816875,390.4548725,71.85465459904076,775,False,True,Markdown/Clear
SKU021,2025-12-31,88,97,9,36,88,27021.28,Furniture,Product 021,7.615659235714285,213.2384586,11.555138862741714,0,False,False,Watch/Volatile
